Question 1,Questions 2,Similarity
Do you have any medication(s) that are already prescribed to manage your Anxiety/Depression?,"Do you have difficulties with concentrating or paying attention, remembering things or does your thinking seem slow?",0
Do you have any medication(s) that are already prescribed to manage your Fatigue/Sleep/Energy/Endurance/Quality of Life?,Do you have emergency phone numbers listed by your phone?,0
Do you have any medication(s) that are already prescribed to manage your pain?,Do you have high blood pressure that is not being controlled with medication?,0
Do you have any other conditions currently being treated by a Physician?,Do you have someone that provides care for you?,0
Do you have any physical or safety concerns with weighing yourself?,Do you have spiritual beliefs to help you cope with the stress of your condition?,0
"Do you have any physical safety concerns where you live? (natural disasters, family issues, loss of power impacting devices)",Do you have stairs to access your home (outside) or stairs indoors?,0
Do you have any problems with your footwear?,Do you have support at home after delivery?,0
Do you have any questions about the medications or how to give them?,Do you have the help you need since&nbsp;being discharged from the hospital?,0
Do you have any questions about your medical or other benefits available to you?,Do you have transportation to your doctor's appointment(s)?,0
Do you have any questions or concerns about using the equipment?,Do you know how to reduce the risk of infection?,0
Do you have any questions regarding your discharge instructions?,Do you know the last blood pressure reading taken at your doctor's office in 2019?,0
"Do you have any questions, concerns or issues with your diabetes that has not been addressed by your doctor, that I can assist you with?",Do you know the last blood pressure reading taken at your doctor's office?,0
"Do you have any questions, concerns or issues with your diabetes that have not been addressed&nbsp;by your doctor that I can assist you&nbsp;with?",Do you know what stage of CKD you are?,0
Do you have any questions/concerns about how to use your assistive device?,Do you know when you are due?,0
Do you have any safety concerns regarding your home/living arrangement?,Do you know which problems to report to the transplant team? (early post discharge),0
Do you have any transportation limitations?,Do you know which problems to report to the transplant team? (late post discharge),0
Do you have any trouble getting around at home or outside your home?,Do you know your HgbA1c?,0
"Do you have any trouble remembering, concentrating or making decisions?",Do you know your last blood pressure?,0
"Do you have any trouble seeing, without the help of glasses or other equipment?",Do you know your LDL?,0
Do you have any trouble seeing?,Do you live alone?,0
Do you have any trouble with your hearing?,Do you need help at home due to your health problems?,0
Do you have any type of heart disease or irregular heartbeat?,Do you need help with any of the following activities? Check all that apply,0
"Do you have concerns about your weight, either your weight being too low, too high or not being able to gain weight you may have lost?",Do you need the help of another person to move around inside or outside your home?,0
Do you have diabetes?,Do you need to stay in bed most or all of the time?,0
"Do you have difficulties with concentrating or paying attention, remembering things or does your thinking seem slow?",Do you need to stay in the home most or all of the time?,0
Do you have emergency phone numbers listed by your phone?,Do you or your doctor have any concerns with your diet?,0
Do you have high blood pressure that is not being controlled with medication?,Do you own a cane or walker?,0
Do you have someone that provides care for you?,Do you prefer to have an interpreter help you when you discuss your health care?,0
Do you have spiritual beliefs to help you cope with the stress of your condition?,Do you provide care for or look after someone who needs assistance with their care?,0
Do you have stairs to access your home (outside) or stairs indoors?,Do you require caregiver support to meet your care needs?,0
Do you have support at home after delivery?,Do you smoke or do you use tobacco?,0
Do you have the help you need since&nbsp;being discharged from the hospital?,Do you take a list of current medications to physician appointments?,0
Do you have transportation to your doctor's appointment(s)?,Do you take all medications as prescribed?,0
Do you know how to reduce the risk of infection?,Do you take any prescription drugs?,0
Do you know the last blood pressure reading taken at your doctor's office in 2019?,Do you take prescription medications?,0
Do you know the last blood pressure reading taken at your doctor's office?,"Do you take prescription or OTC medications, herbals or&nbsp;dietary supplements, including prenatal vitamins?",0
Do you know what stage of CKD you are?,Do you take your cholesterol lowering medication as prescribed?,0
Do you know when you are due?,Do you take your oral diabetes medication(s) as prescribed?,0
Do you know which problems to report to the transplant team? (early post discharge),"Do you think there are things in the home that may pose a risk for falls, e.g., cluttered walking path, throw rugs, loose carpet/rugs, cords, poor lighting, pets, etc.?",0
Do you know which problems to report to the transplant team? (late post discharge),Do you understand how to manage your condition and recognize the signs and symptoms you should watch for that might mean your condition is worsening?,0
Do you know your HgbA1c?,Do you understand why you are taking medication(s)/what they are for?,0
Do you know your LDL?,"Do you use a cane, wheelchair or walker to move around at home or outside your home?",0
Do you know your last blood pressure?,Do you use a device to help you get around? <br>,0
Do you live alone?,Do you use a hearing device?,0
Do you need help at home due to your health problems?,Do you use any tobacco or nicotine products?,0
Do you need help with any of the following activities? Check all that apply,Do you use any tobacco products?,0
Do you need the help of another person to move around inside or outside your home?,Do you use more than 8 different medications?,0
Do you need to stay in bed most or all of the time?,Do you use more than eight (8) different medications?,0
Do you need to stay in the home most or all of the time?,Do you use recreational drugs or medications not prescribed to you?,0
Do you or your doctor have any concerns with your diet?,"Do you use tobacco of any kind (smoke, vape, chewing tobacco) or previously smoked/used tobacco in the past?",0
Do you own a cane or walker?,Do you utilize any of the following assistive devices:,0
Do you prefer to have an interpreter help you when you discuss your health care?,Do you want to select the PHQ-9 Supplemental assessment?,0
Do you provide care for or look after someone who needs assistance with their care?,Do you wear glasses/corrective lenses?,0
Do you require caregiver support to meet your care needs?,Document location (check all that apply):,0
Do you smoke or do you use tobacco?,Document location of metastasis (check all that apply):,0
Do you take a list of current medications to physician appointments?,Document the Palliative Performance Score:,0
Do you take all medications as prescribed?,"Does anyone help you with your self-care, shopping or other daily activities?",0
Do you take any prescription drugs?,"Does consumer have an Advance Directive in place? (Living Will, Durable Power of Attorney, Legal Guardianship)",0
Do you take prescription medications?,Does employer group require a COE?,0
"Do you take prescription or OTC medications, herbals or&nbsp;dietary supplements, including prenatal vitamins?",Does member have OON benefits? [CKD Pilot],0
Do you take your cholesterol lowering medication as prescribed?,Does member need to start preparing for ESRD (eGFR under 20)?,0
Do you take your oral diabetes medication(s) as prescribed?,"Does member/responsible party, verbalize clear understanding of all medications?",0
"Do you think there are things in the home that may pose a risk for falls, e.g., cluttered walking path, throw rugs, loose carpet/rugs, cords, poor lighting, pets, etc.?",Does patient meet criteria for travel and lodging assistance through COE?,0
Do you understand how to manage your condition and recognize the signs and symptoms you should watch for that might mean your condition is worsening?,Does patient want to access travel and lodging benefits?,0
Do you understand why you are taking medication(s)/what they are for?,"Does patient/caregiver understand discharge instructions, and will they have problems following these instructions?",0
"Do you use a cane, wheelchair or walker to move around at home or outside your home?",Does the enrollee or caregiver agree to be interviewed?,0
Do you use a device to help you get around? <br>,Does the member agree to be interviewed?,0
Do you use a hearing device?,Does the member have a primary nephrologist?,0
Do you use any tobacco or nicotine products?,"Does the member have adequate support (through family, friends or support groups)?",0
Do you use any tobacco products?,Does the member have any additional follow- up appointment scheduled?,0
Do you use more than 8 different medications?,Does the member or legal guardian give verbal permission to discuss PHI?,0
Do you use more than eight (8) different medications?,Does the member provide care for a spouse or someone else?,0
Do you use recreational drugs or medications not prescribed to you?,Does the member utilize HouseCall or Health Risk Assessment?,0
"Do you use tobacco of any kind (smoke, vape, chewing tobacco) or previously smoked/used tobacco in the past?",Does the patient have a blood glucose monitor?,0
Do you utilize any of the following assistive devices:,Does the patient want to access travel and lodging benefits?,0
Do you want to select the PHQ-9 Supplemental assessment?,Does the plan fit with your lifestyle and beliefs?,0
Do you wear glasses/corrective lenses?,Does the tub/shower have a sturdy grab-bar (not towel rack)?,0
Document location (check all that apply):,Does this member require a warm transfer to the nurse?,0
Document location of metastasis (check all that apply):,Does your doctor require you to follow a specific diet?,0
Document the Palliative Performance Score:,Does your hearing limitation/impairment impact your care needs?,0
"Does anyone help you with your self-care, shopping or other daily activities?",Does your hearing trouble limit what you can do?,0
"Does consumer have an Advance Directive in place? (Living Will, Durable Power of Attorney, Legal Guardianship)",Does your PCP/Doctor or family have a copy of your advanced directives?,0
Does employer group require a COE?,"Does your shower or tub have a non-skid surface: mat, decals, or abrasive strips?",0
Does member have OON benefits? [CKD Pilot],Does your vision limitation/impairment impact your care needs?,0
Does member need to start preparing for ESRD (eGFR under 20)?,Does your vision trouble limit what you can do?,0
"Does member/responsible party, verbalize clear understanding of all medications?",Does your work status impact your ability to meet your health care needs?,0
Does patient meet criteria for travel and lodging assistance through COE?,Dressing,0
Does patient want to access travel and lodging benefits?,Dressing:,0
"Does patient/caregiver understand discharge instructions, and will they have problems following these instructions?",During or immediately after delivery did your baby/babies have any problems?,0
Does the enrollee or caregiver agree to be interviewed?,"During the past 4 weeks, how much of the time did you feel short of breath?",0
Does the member agree to be interviewed?,"During the past month, have you often been bothered by feeling down, depressed or hopeless?",0
Does the member have a primary nephrologist?,"During the past month, have you often been bothered by feeling down, depressed, or hopeless?",0
"Does the member have adequate support (through family, friends or support groups)?","During the past month, have you often been bothered by little interest or pleasure in doing things ?",0
Does the member have any additional follow- up appointment scheduled?,"During the past month, have you often been bothered by little interest or pleasure in doing things?",0
Does the member or legal guardian give verbal permission to discuss PHI?,"During, or immediately after delivery, did your baby/babies have any problems?",0
Does the member provide care for a spouse or someone else?,Eating,0
Does the member utilize HouseCall or Health Risk Assessment?,Eating in absence of hunger,0
Does the patient have a blood glucose monitor?,Educate member on importance of adding baby/babies to the insurance plan,0
Does the patient want to access travel and lodging benefits?,Educate member&nbsp; on adding infant(s) to insurance within 30 days of delivery.,0
Does the plan fit with your lifestyle and beliefs?,Education Level?,0
Does the tub/shower have a sturdy grab-bar (not towel rack)?,Emotional eating,0
Does this member require a warm transfer to the nurse?,Environmental reason(s):,0
Does your PCP/Doctor or family have a copy of your advanced directives?,ER Discharge diagnosis?,0
Does your doctor require you to follow a specific diet?,ER since previous call?,0
Does your hearing limitation/impairment impact your care needs?,ER Visit Since Previous Call?,0
Does your hearing trouble limit what you can do?,ESRD Readiness Section Check all that are TRUE:,0
"Does your shower or tub have a non-skid surface: mat, decals, or abrasive strips?",Ethnicity (Group 2):,0
Does your vision limitation/impairment impact your care needs?,Ethnicity?,0
Does your vision trouble limit what you can do?,Excessive consumption of high calorie liquid,0
Does your work status impact your ability to meet your health care needs?,Feeling afraid as if something awful might happen,0
Dressing,Feeling bad about yourself - or that you are a failure or have let yourself or your family down,0
Dressing:,"Feeling down, depressed or sad?",0
During or immediately after delivery did your baby/babies have any problems?,"Feeling down, depressed, or hopeless",0
"During the past 4 weeks, how much of the time did you feel short of breath?",Feeling everything is an effort,0
"During the past month, have you often been bothered by feeling down, depressed or hopeless?",Feeling fearful or afraid,0
"During the past month, have you often been bothered by feeling down, depressed, or hopeless?",Feeling hopeless about the future,0
"During the past month, have you often been bothered by little interest or pleasure in doing things ?","Feeling nervous, anxious or on edge?",0
"During the past month, have you often been bothered by little interest or pleasure in doing things?",Feeling no interest in things,0
"During, or immediately after delivery, did your baby/babies have any problems?",Feeling sad or blue,0
ER Discharge diagnosis?,Feeling tired or having little energy,0
ER Visit Since Previous Call?,Flu vaccine&nbsp;status:,0
ER since previous call?,Following a prescribed or recommended diet low in sodium or salt?,0
ESRD Readiness Section Check all that are TRUE:,"Following their treatment, the patient is over their target weight:",0
Eating,"Following thir treatment, the patient is under their target weight:",0
Eating in absence of hunger,Frequent eating episodes,0
Educate member on importance of adding baby/babies to the insurance plan,Further assistance needed with medication(s): (check all that apply),0
Educate member&nbsp; on adding infant(s) to insurance within 30 days of delivery.,Gap in Care Closure: Diabetes Kidney Function Screening,0
Education Level?,Gap in Care Closure: Pneumonia Vaccine,0
Emotional eating,Gap in Care Closure:&nbsp; A1C,0
Environmental reason(s):,Gap in Care Closure:&nbsp; Annual Wellness Visit/Physical/Check-Up,0
Ethnicity (Group 2):,Gap in Care Closure:&nbsp; Blood Pressure Medication,0
Ethnicity?,Gap in Care Closure:&nbsp; Breast Cancer Screening/Mammogram,0
Excessive consumption of high calorie liquid,Gap in Care Closure:&nbsp; Cholesterol Medication,0
Feeling afraid as if something awful might happen,Gap in Care Closure:&nbsp; Diabetes-Oral Medication,0
Feeling bad about yourself - or that you are a failure or have let yourself or your family down,Gap in Care Closure:&nbsp; Flu Vaccine,0
"Feeling down, depressed or sad?",General Condition Management:,0
"Feeling down, depressed, or hopeless",Gestational age of baby/babies:,0
Feeling everything is an effort,Gestational age of baby?,0
Feeling fearful or afraid,Has 2728 form been collected?,0
Feeling hopeless about the future,Has a dialysis center been identified by the member?,0
"Feeling nervous, anxious or on edge?","Has anxiety, stress or worry interfered with your life?",0
Feeling no interest in things,Has foot care been addressed with the member during this call or in the past?,0
Feeling sad or blue,Has historical Creatinine been entered into trackers for this member?,0
Feeling tired or having little energy,Has it been hard for you to get the help you need?,0
Flu vaccine&nbsp;status:,Has Patient had one or more of the following symptoms in the past three months (check all that apply),0
Following a prescribed or recommended diet low in sodium or salt?,Has patient visited the transplant center (s) and initiated the evaluation process?,0
"Following their treatment, the patient is over their target weight:",Has pertinent information been obtained on the Team Tracker?,0
"Following thir treatment, the patient is under their target weight:",Has that changed since your surgery?,0
Frequent eating episodes,Has the child had any heart procedures to date (include surgical and interventional cardiology procedures)?,0
Further assistance needed with medication(s): (check all that apply),Has the consumer chosen to use the NRT gum?,0
Gap in Care Closure: Diabetes Kidney Function Screening,Has the consumer chosen to use the NRT Lozenges?,0
Gap in Care Closure: Pneumonia Vaccine,Has the consumer chosen to use the NRT patch?,0
Gap in Care Closure:&nbsp; A1C,Has the consumer chosen to use the NRT?,0
Gap in Care Closure:&nbsp; Annual Wellness Visit/Physical/Check-Up,Has the doctor been contacted regarding the problem symptoms?,0
Gap in Care Closure:&nbsp; Blood Pressure Medication,Has the home health care personnel made a visit or contacted you?,0
Gap in Care Closure:&nbsp; Breast Cancer Screening/Mammogram,Has the individual been hospitalized since previous call?,0
Gap in Care Closure:&nbsp; Cholesterol Medication,Has the member applied for Medicare?,0
Gap in Care Closure:&nbsp; Diabetes-Oral Medication,Has the member attended any seminars?,0
Gap in Care Closure:&nbsp; Flu Vaccine,Has the member completed a follow up appointment with their surgeon?,0
General Condition Management:,Has the member completed elective single embryo transfer?,0
Gestational age of baby/babies:,Has the member ever been reached?,0
Gestational age of baby?,Has the member scheduled a follow up appointment with surgeon?,0
Has 2728 form been collected?,Has the ordered service(s) started or have arrangements been made to obtain the service(s)?,0
Has Patient had one or more of the following symptoms in the past three months (check all that apply),Has the patient used their infertility benefits to-date?,0
Has a dialysis center been identified by the member?,Has this patient been in the program for at least 6 months?,0
"Has anxiety, stress or worry interfered with your life?",Has your baby seen the pediatrician?,0
Has foot care been addressed with the member during this call or in the past?,Has your cardiologist or surgeon discussed any future treatment options with you?,0
Has historical Creatinine been entered into trackers for this member?,Has your doctor asked you to check on your own your blood pressure?,0
Has it been hard for you to get the help you need?,"Has your doctor asked you to follow a specific diet, or maybe asked you to cut back on certain foods ?",0
Has patient visited the transplant center (s) and initiated the evaluation process?,Has your doctor ever told you that you have a heart condition(s) or any of the following? (select all that apply),0
Has pertinent information been obtained on the Team Tracker?,Has your doctor instructed you to weigh yourself to help monitor your condition?,0
Has that changed since your surgery?,"Has your doctor prescribed any equipment for you, like a cane, wheelchair or oxygen?",0
Has the child had any heart procedures to date (include surgical and interventional cardiology procedures)?,Has your doctor prescribed or recommended any equipment for you that you are unable to obtain?,0
Has the consumer chosen to use the NRT Lozenges?,Has your doctor prescribed or recommended any equipment for you?,0
Has the consumer chosen to use the NRT gum?,Has your doctor set a goal they would like for your blood pressure?,0
Has the consumer chosen to use the NRT patch?,Has your doctor set a green/yellow/red peak flow Action Plan?,0
Has the consumer chosen to use the NRT?,Has your physician instructed you on any activity restrictions?,0
Has the doctor been contacted regarding the problem symptoms?,"Has your physician prescribed an assistive device for you to use?  (cane/walker, O2, etc)",0
Has the home health care personnel made a visit or contacted you?,Has your primary care provider/physician prescribed blood pressure medication?,0
Has the individual been hospitalized since previous call?,Has your primary care provider/physician prescribed cholesterol lowering medication?,0
Has the member applied for Medicare?,"Has your provider discussed post-partum depression vs. ""baby blues""?",0
Has the member attended any seminars?,Has your provider told you that this is a high-risk pregnancy?,0
Has the member completed a follow up appointment with their surgeon?,Has your RH factor been checked?,0
Has the member completed elective single embryo transfer?,Have any fulfillment materials been sent?,0
Has the member ever been reached?,"Did a doctor or other health provider advise you to start, increase, or maintain your level of exercise or physical activity? &nbsp;",0
Has the member scheduled a follow up appointment with surgeon?,Did member have prior IVF?,0
Has the ordered service(s) started or have arrangements been made to obtain the service(s)?,Did patient meet criteria for travel and lodging benefit?,0
Has the patient used their infertility benefits to-date?,Did patient select the travel and lodging benefit?,0
Has this patient been in the program for at least 6 months?,Did the member enroll in the BRS program?,0
Has your RH factor been checked?,Did the member receive and understand post op instructions?,0
Has your baby seen the pediatrician?,Did the patient have infertility benefits prior to enrollment in RRS?,0
Has your cardiologist or surgeon discussed any future treatment options with you?,Did this pregnancy result from fertility treatments?,0
Has your doctor asked you to check on your own your blood pressure?,Did you bank your cord blood?,0
"Has your doctor asked you to follow a specific diet, or maybe asked you to cut back on certain foods ?",Did you educate on the value of a COE?,0
Has your doctor ever told you that you have a heart condition(s) or any of the following? (select all that apply),Did you educate the member on the lifestyle changes that will be required before and after surgery?,0
Has your doctor instructed you to weigh yourself to help monitor your condition?,Did you experience any of the following complications during pregnancy?,0
"Has your doctor prescribed any equipment for you, like a cane, wheelchair or oxygen?",Did you have any pregnancy complications prior to delivery?,0
Has your doctor prescribed or recommended any equipment for you that you are unable to obtain?,Did you hurt yourself when you fell? <br>,0
Has your doctor prescribed or recommended any equipment for you?,Did you provide education on the different procedures?,0
Has your doctor set a goal they would like for your blood pressure?,Did you provide steerage?,0
Has your doctor set a green/yellow/red peak flow Action Plan?,Did you receive a breast pump through your insurance benefits?,0
Has your physician instructed you on any activity restrictions?,Did you receive treatment for the problem?,0
"Has your physician prescribed an assistive device for you to use?  (cane/walker, O2, etc)",Did you send the risk score memo to the physician?,0
Has your primary care provider/physician prescribed blood pressure medication?,Did your baby/babies require intermediate nursery days?,0
Has your primary care provider/physician prescribed cholesterol lowering medication?,Did your baby/babies stay in the NICU?,0
"Has your provider discussed post-partum depression vs. ""baby blues""?",Did your baby/babies stay in the normal newborn nursery?,0
Has your provider told you that this is a high-risk pregnancy?,Did your doctor order any of the following for you after discharge?  Check all that apply.,0
Have GI disturbances (including GI bleed) been addressed with the member during this call or in the past?,Did your doctor provide you with any special dietary instructions?,0
Have any fulfillment materials been sent?,Have you discussed this with your doctor or other health provider?,0
Have fulfillment materials been sent?,Have you ever been diagnosed with depression or anxiety?,0
Have you ever felt guilty about your drinking?,Have you ever felt guilty about your drinking?,1
Have there been any changes in Behavioral Health status:,Have you ever had a miscarriage or spontaneous abortion?,0
Have you added your baby/babies to the insurance plan?,Have you ever taken a drink in the morning to steady your nerves or get rid of a hangover?,0
Have you been able to eliminate or minimize your trigger exposure?,"Have you experienced any other hormone-related symptoms (i.e. vaginal dryness, incontinence)?",0
Have you been diagnosed with Heart Failure?,"Have you experienced any shortness of breath or chest pain? Or, do you have shortness of breath when lying down or have persistent leg swelling since starting cancer treatment?",0
Have you been experienced hot flashes or night sweats?,Have you felt that you should cut down on your drinking?,0
Have you been hospitalized for any complications related to this pregnancy?,Have you had a cholesterol test (LDL Cholesterol) taken?,0
Have you been prescribed oral medications for your diabetes?,Have you had a fall in the past 12 months?,0
Have you had a heart attack in the last 6 weeks?,Have you had a heart attack in the last 6 weeks?,1
Have you been screened for colorectal cancer?,Have you had a HgbA1c test done?,0
Have you been seen for a follow up appointment?,Have you had a test to check your kidney function during the current calendar year?,0
Have you been tested for Group B Strep?,"Have you had an A1C test completed in 2019, or in previous year(s)? Note: Only the test completed in 2019 closes the gap.",0
Have you been told you have high blood pressure?,Have you had an A1C test completed in the current calendar year?,0
Have you completed a diabetic retinopathy/dilated eye exam during the current calendar year?,Have you had an A1c test within the last 12 months or as prescribed by your physician?,0
Have you considered a 2nd opinion?,Have you had an eye exam to screen for diabetic retinopathy?,0
Have you decided if you are going to breast feed or bottle feed?,Have you had any infertility treatments by any physician?,0
Have you decided on a birth control method?,Have you decided on a birth control method?,1
Have you decided on your strategy for pain management during delivery?,Have you had any medication changes?,0
Have you discussed this with your doctor or other health provider?,"Have you had any of the following to check your kidney function, in the current calendar year? (Select one):",0
Have you ever been diagnosed with depression or anxiety?,Have you had lab work recently to check your potassium or electrolyte levels?,0
Have you ever felt guilty about your drinking?,Have you had special testing to check your heart function (echocardiogram)? This is a test that takes pictures of how well the heart is pumping.,0
Have you ever had a miscarriage or spontaneous abortion?,Have you had two (2) HgbA1c tests done in the last 12 months?,0
Have you ever taken a drink in the morning to steady your nerves or get rid of a hangover?,Have you had your breast cancer screening (mammogram) completed in the last 27 months?,0
Have you had your first prenatal visit?,Have you had your first prenatal visit?,1
"Have you experienced any shortness of breath or chest pain? Or, do you have shortness of breath when lying down or have persistent leg swelling since starting cancer treatment?",Have you had your preventative breast cancer screening (mammogram) completed in the past 2 years?,0
Have you felt that you should cut down on your drinking?,"Have you hada breast cancer screening (mammogram) completed in the past 2 years? Any of the following mammogram types will meet this measure: Screening, diagnostic, film, digital or digital breast tomosynthesis.",0
Have you had a HgbA1c test done?,Have you made arrangements for childbirth classes?,0
Have you had a cholesterol test (LDL Cholesterol) taken?,Have you noticed a decline in your ability to perform your daily activities over the last 4-6 weeks?,0
Have you had a fall in the past 12 months?,Have you or a member of your family ever been diagnosed with or treated for a bi-polar or manic depressive condition?,0
Have you had a heart attack in the last 6 weeks?,Have you received a flu vaccine for the current flu season?,0
Have you had a test to check your kidney function during the current calendar year?,Have you received a flu vaccine for the current flu season? (September-March),0
"Have you had an A1C test completed in 2019, or in previous year(s)? Note: Only the test completed in 2019 closes the gap.","Have you received care in the hospital, emergency room (ER), urgent care, outpatient center, rehabilitation facility or skilled nursing home in the last 30 days?",0
Have you had an A1C test completed in the current calendar year?,Have you received/obtained the assistive device prescribed?,0
Have you had an A1c test within the last 12 months or as prescribed by your physician?,Have you had an A1C test completed in the current calendar year?,1
Have you had an eye exam to screen for diabetic retinopathy?,Have you seen a REDUCTION in any of these medications/devices (select all that apply):,0
Have you had any infertility treatments by any physician?,Have you seen your Primary Care Provider for your annual wellness visit and/or annual physical/checkup exam within 2019?,0
"Have you had any kidney function testing (Creatinine Level, Microalbumin (Urine), Protein, 24Hr Urine Proteinuria, Urinary Prot/Creatinine Ratio)?",Have you seen your Primary Care Provider for your annual wellness visit and/or annual physical/checkup exam within the calendar year?,0
Have you had any medication changes?,Have you had any medication changes?,1
"Have you had any of the following to check your kidney function, in the current calendar year? (Select one):",Have you smoked at least 100 cigarettes in your ENTIRE LIFE?,0
Have you had lab work recently to check your potassium or electrolyte levels?,Have you talked to your provider about the fall?,0
Have you had special testing to check your heart function (echocardiogram)? This is a test that takes pictures of how well the heart is pumping.,Have you undergone fertility treatments previously?,0
Have you had two (2) HgbA1c tests done in the last 12 months?,Have you visited an Emergency Room or an Urgent Care Center or been hospitalized for shortness of breath or other heart failure related symptoms in the past year?,0
Have you had your breast cancer screening (mammogram) completed in the last 27 months?,Having a sudden feeling of fear or panic like an anxiety attack?,0
Have you had your first prenatal visit?,Having little interest or pleasure in doing things?,0
Have you had your preventative breast cancer screening (mammogram) completed in the past 2 years?,Hospitalization/ER visit since previous call: (check all that apply),0
"Have you hada breast cancer screening (mammogram) completed in the past 2 years? Any of the following mammogram types will meet this measure: Screening, diagnostic, film, digital or digital breast tomosynthesis.",Hospitalized since previous call?,0
Have you made arrangements for childbirth classes?,Hospitalized?,0
Have you noticed a decline in your ability to perform your daily activities over the last 4-6 weeks?,HouseCall Assessment or Risk Stratification Assessment available (M&R and SNP only)?,0
Housekeeping,Housekeeping,1
Have you received a flu vaccine for the current flu season?,Housework:,0
Have you received a flu vaccine for the current flu season? (September-March),How are you enhancing your wellness?,0
What methon you use feeding your baby?,How are you feeding your baby?,1
Have you received/obtained the assistive device prescribed?,How confident are you filling out medical forms by yourself?,0
Have you seen a REDUCTION in any of these medications/devices (select all that apply):,How confident are you in filling out medical forms by yourself ?,0
Have you seen a doctor in the last 6 months for any of the above conditions?,How confident are you in your ability to fill out your medical paperwork and understand your medical care plan?,0
Have you seen your Primary Care Provider for your annual wellness visit and/or annual physical/checkup exam within 2019?,How confident are you that you fully understand your medical care plan?,0
Have you seen your Primary Care Provider for your annual wellness visit and/or annual physical/checkup exam within the calendar year?,How did member become aware of the CHD program?,0
Have you selected a pediatrician for your newborn?,"How difficult have these problems made it for you to do your work, take care of things at home or get along with other people? (PHQ-4)",0
Have you smoked at least 100 cigarettes in your ENTIRE LIFE?,"How difficult have these problems made it for you to do your work, take care of things at home, or get along with other people ?",0
Have you talked to your provider about the fall?,Have you talked to your provider about the fall?,1
Have you undergone fertility treatments previously?,How do you get to your health care appointments? (Transportation),0
Have you visited an Emergency Room or an Urgent Care Center or been hospitalized for shortness of breath or other heart failure related symptoms in the past year?,How does patient get to and from dialysis treatments? Check all that apply:,0
Having a sudden feeling of fear or panic like an anxiety attack?,How frequently are you seeing the transplant team or local physician?,0
Having little interest or pleasure in doing things?,How frequently do you see your nephrologist?,0
Hospitalization/ER visit since previous call: (check all that apply),How frequently does the patient monitor blood glucose?,0
Hospitalized since previous call?,How is that being treated ? (check all that apply),0
Hospitalized?,How is the condition affecting your quality of life?,0
HouseCall Assessment or Risk Stratification Assessment available (M&R and SNP only)?,How is your depression being treated? Check all that apply:,0
Housekeeping,How long have you been dealing with this condition?,0
How long have you had this pain?,How long have you had this pain?,1
How are you enhancing your wellness?,How long have you/your partner been undergoing fertility treatments?,0
How many babies are you carrying?,How many babies are you carrying?,1
How confident are you filling out medical forms by yourself?,How many babies did you deliver?,0
How confident are you in filling out medical forms by yourself ?,How many different medications do you take each day (including prescriptions and over the counter medications)?,0
How confident are you in your ability to fill out your medical paperwork and understand your medical care plan?,"How many drinks do you have on a typical day when you are drinking? ""One drink"" would be 12 ounces of beer, 5 ounces of wine, or a drink with one shot of liquor.",0
How many embryos to be transferred?,How many embryos to be transferred?,1
How did member become aware of the CHD program?,"How many times have you been pregnant including this pregnancy, any ectopic, molar pregnancies, miscarriage, abortions, stillborn and live births?",0
"How difficult have these problems made it for you to do your work, take care of things at home or get along with other people? (PHQ-4)",How many times have you been pregnant including this pregnancy?,0
"How difficult have these problems made it for you to do your work, take care of things at home, or get along with other people ?",How many times in the past year did you use drugs for non-medical reasons?,0
"How difficult have these problems made it for you to do your work, take care of things at home, or get along with other people?","How many times in the past year have you used a recreational drug or a prescription medication for non-medical reasons? (For example, because of the way it made you feel)",0
How many?,How many times? <br>,1
How does patient get to and from dialysis treatments? Check all that apply:,How many?,0
How frequently are you seeing the transplant team or local physician?,How often (smoke cigarettes)?,0
How frequently do you see your nephrologist?,How often are you using your rescue inhaler?,0
How frequently does the patient monitor blood glucose?,How often do you check your feet?,0
How is that being treated ? (check all that apply),How often do you have 6 or more drinks on one occasion ?,0
How is the condition affecting your quality of life?,How is the condition affecting your quality of life?,1
How is your depression being treated? Check all that apply:,How often does patient access the Internet?,0
How long have you been dealing with this condition?,How often has your doctor recommended you check your blood sugar?,0
How long have you had this pain?,How often would you say you stick to that diet (those instructions)?,0
How long have you/your partner been undergoing fertility treatments?,How old are you?,0
How many babies are you carrying?,How satisfied with your body image are you since surgery?,0
How many babies did you deliver?,How was assessment completed?,0
How many different medications do you take each day (including prescriptions and over the counter medications)?,How was the dialysis center determined?,0
"How many drinks do you have on a typical day when you are drinking? ""One drink"" would be 12 ounces of beer, 5 ounces of wine, or a drink with one shot of liquor.",How was the member referred to the program?,0
How was the patient identified?,How was the patient identified?,1
"How many times have you been pregnant including this pregnancy, any ectopic, molar pregnancies, miscarriage, abortions, stillborn and live births?",How willing are you to change your tobacco use?,0
How many times have you been pregnant including this pregnancy?,How would you categorize member's current risk if faced with an emergency/disaster?,0
How many times in the past year did you use drugs for non-medical reasons?,How would you describe your activity level during last the 3 days?,0
"How many times in the past year have you used a recreational drug or a prescription medication for non-medical reasons? (For example, because of the way it made you feel)",How would you describe your health these past 4 weeks?,0
How would you describe your pain in the last 3 days?,How would you describe your pain in the last 3 days?,1
How many?,How would you rate the support you're getting from your family?,0
How often (smoke cigarettes)?,"How would you rate the support you're getting from your social network (friends, coworkers, neighbors, etc)?",0
